2093,5129,1470,5177,1142
5129,1470,5177,1142,610
1470,5177,1142,610,4788
5177,1142,610,4788,7185
1142,610,4788,7185,406
610,4788,7185,406,8445
4788,7185,406,8445,7116
7185,406,8445,7116,7561
406,8445,7116,7561,7100
8445,7116,7561,7100,4550
7116,7561,7100,4550,3910
7561,7100,4550,3910,8932
7100,4550,3910,8932,1585
4550,3910,8932,1585,1470
3910,8932,1585,1470,5177
8932,1585,1470,5177,3966
1585,1470,5177,3966,765
1470,5177,3966,765,2846
5177,3966,765,2846,6724
3966,765,2846,6724,781
765,2846,6724,781,7414
2846,6724,781,7414,8792
6724,781,7414,8792,6418
781,7414,8792,6418,2568
7414,8792,6418,2568,5159
8792,6418,2568,5159,5177
6418,2568,5159,5177,7002
2568,5159,5177,7002,616
5159,5177,7002,616,5347
5177,7002,616,5347,6077
7002,616,5347,6077,6886
616,5347,6077,6886,1168
5347,6077,6886,1168,1654
6077,6886,1168,1654,7921
6886,1168,1654,7921,987
1168,1654,7921,987,2466
1654,7921,987,2466,7917
7921,987,2466,7917,5445
987,2466,7917,5445,6002
2466,7917,5445,6002,5988
7917,5445,6002,5988,5603
5445,6002,5988,5603,1168
6002,5988,5603,1168,1710
5988,5603,1168,1710,1470
5603,1168,1710,1470,5177
1168,1710,1470,5177,8136
1710,1470,5177,8136,7025
1470,5177,8136,7025,405
5177,8136,7025,405,5069
8136,7025,405,5069,6500
7025,405,5069,6500,7042
405,5069,6500,7042,3900
5069,6500,7042,3900,4859
6500,7042,3900,4859,2846
7042,3900,4859,2846,8331
3900,4859,2846,8331,4750
4859,2846,8331,4750,2028
2846,8331,4750,2028,1470
8331,4750,2028,1470,5177
4750,2028,1470,5177,1281
2028,1470,5177,1281,1470
1470,5177,1281,1470,2532
5177,1281,1470,2532,7152
1281,1470,2532,7152,8233
1470,2532,7152,8233,6815
2532,7152,8233,6815,5893
7152,8233,6815,5893,8244
8233,6815,5893,8244,4891
6815,5893,8244,4891,1827
5893,8244,4891,1827,6874
8244,4891,1827,6874,7296
4891,1827,6874,7296,5069
1827,6874,7296,5069,2471
6874,7296,5069,2471,7392
7296,5069,2471,7392,7390
5069,2471,7392,7390,1355
2471,7392,7390,1355,758
7392,7390,1355,758,366
7390,1355,758,366,6384
1355,758,366,6384,7025
758,366,6384,7025,2993
366,6384,7025,2993,7539
6384,7025,2993,7539,1470
7025,2993,7539,1470,5177
2993,7539,1470,5177,8676
7539,1470,5177,8676,2965
1470,5177,8676,2965,616
5177,8676,2965,616,387
8676,2965,616,387,5008
2965,616,387,5008,5317
616,387,5008,5317,7263
387,5008,5317,7263,8505
5008,5317,7263,8505,7019
5317,7263,8505,7019,4934
7263,8505,7019,4934,7411
8505,7019,4934,7411,1470
7019,4934,7411,1470,2532
4934,7411,1470,2532,4752
7411,1470,2532,4752,6077
1470,2532,4752,6077,4907
2532,4752,6077,4907,5893
4752,6077,4907,5893,8592
6077,4907,5893,8592,7414
4907,5893,8592,7414,2785
5893,8592,7414,2785,2846
8592,7414,2785,2846,1057
7414,2785,2846,1057,7042
2785,2846,1057,7042,2965
2846,1057,7042,2965,975
1057,7042,2965,975,1470
7042,2965,975,1470,5177
2965,975,1470,5177,2769
975,1470,5177,2769,8779
1470,5177,2769,8779,7076
5177,2769,8779,7076,8446
2769,8779,7076,8446,7126
8779,7076,8446,7126,5357
7076,8446,7126,5357,7042
8446,7126,5357,7042,927
7126,5357,7042,927,987
5357,7042,927,987,7538
7042,927,987,7538,1470
927,987,7538,1470,5177
987,7538,1470,5177,5859
7538,1470,5177,5859,5069
1470,5177,5859,5069,727
5177,5859,5069,727,3631
5859,5069,727,3631,4891
5069,727,3631,4891,3823
727,3631,4891,3823,5964
3631,4891,3823,5964,5893
4891,3823,5964,5893,6485
3823,5964,5893,6485,7042
5964,5893,6485,7042,1730
5893,6485,7042,1730,8445
6485,7042,1730,8445,5045
7042,1730,8445,5045,1470
1730,8445,5045,1470,2532
8445,5045,1470,2532,4204
5045,1470,2532,4204,8883
1470,2532,4204,8883,1286
2532,4204,8883,1286,7913
4204,8883,1286,7913,2581
8883,1286,7913,2581,1281
1286,7913,2581,1281,4654
7913,2581,1281,4654,760
2581,1281,4654,760,1470
1281,4654,760,1470,8618
4654,760,1470,8618,8022
760,1470,8618,8022,846
1470,8618,8022,846,6320
8618,8022,846,6320,5406
8022,846,6320,5406,3041
846,6320,5406,3041,1051
6320,5406,3041,1051,5893
5406,3041,1051,5893,5486
3041,1051,5893,5486,1168
1051,5893,5486,1168,4012
5893,5486,1168,4012,1470
5486,1168,4012,1470,5177
